iter	Passed	Remaining
698	2130	917
699	2133	914
700	2136	911
701	2138	907
702	2141	904
703	2144	901
704	2147	898
705	2150	895
706	2153	892
707	2155	889
708	2158	885
709	2161	882
710	2164	879
711	2166	876
712	2169	873
713	2172	870
714	2175	867
715	2177	863
716	2180	860
717	2183	857
718	2186	854
719	2188	851
720	2191	847
721	2194	844
722	2196	841
723	2199	838
724	2202	835
725	2204	832
726	2207	829
727	2210	825
728	2213	822
729	2216	819
730	2218	816
731	2221	813
732	2224	810
733	2227	807
734	2229	803
735	2232	800
736	2235	797
737	2238	794
738	2240	791
739	2243	788
740	2246	785
741	2248	781
742	2251	778
743	2254	775
744	2256	772
745	2259	769
746	2262	766
747	2264	763
748	2267	759
749	2270	756
750	2273	753
751	2275	750
752	2278	747
753	2281	744
754	2283	741
755	2286	737
756	2289	734
757	2291	731
758	2294	728
759	2297	725
760	2299	722
761	2302	719
762	2305	716
763	2307	712
764	2310	709
765	2313	706
766	2316	703
767	2318	700
768	2321	697
769	2324	694
770	2326	691
771	2329	688
772	2332	685
773	2335	681
774	2338	678
775	2340	675
776	2343	672
777	2346	669
778	2349	666
779	2351	663
780	2354	660
781	2357	657
782	2360	654
783	2363	651
784	2366	648
785	2368	644
786	2371	641
787	2374	638
788	2376	635
789	2379	632
790	2382	629
791	2384	626
792	2387	623
793	2390	620
794	2393	617
795	2395	614
796	2398	610
797	2401	607
798	2403	604
799	2406	601
800	2409	598
801	2412	595
802	2415	592
803	2417	589
804	2420	586
805	2423	583
806	2426	580
807	2428	577
808	2431	574
809	2434	571
810	2437	567
811	2439	564
812	2442	561
813	2445	558
814	2448	555
815	2450	552
816	2453	549
817	2456	546
818	2458	543
819	2461	540
820	2464	537
821	2466	534
822	2469	531
823	2472	528
824	2475	525
825	2478	522
826	2480	518
827	2483	515
828	2487	513
829	2489	509
830	2492	506
831	2495	503
832	2498	500
833	2501	497
834	2504	494
835	2507	491
836	2510	488
837	2512	485
838	2515	482
839	2518	479
840	2521	476
841	2524	473
842	2527	470
843	2530	467
844	2533	464
845	2536	461
846	2538	458
847	2541	455
848	2544	452
849	2547	449
850	2549	446
851	2552	443
852	2555	440
853	2557	437
854	2560	434
855	2563	431
856	2565	428
857	2568	425
858	2571	422
859	2574	419
860	2576	415
861	2579	412
862	2582	409
863	2585	406
864	2589	404
865	2591	401
866	2594	398
867	2597	394
868	2599	391
869	2602	388
870	2605	385
871	2608	382
872	2610	379
873	2613	376
874	2616	373
875	2618	370
876	2621	367
877	2624	364
878	2627	361
879	2630	358
880	2632	355
881	2635	352
882	2638	349
883	2640	346
884	2643	343
885	2646	340
886	2649	337
887	2652	334
888	2654	331
889	2657	328
890	2660	325
891	2662	322
892	2665	319
893	2668	316
894	2670	313
895	2673	310
896	2676	307
897	2678	304
898	2681	301
899	2684	298
900	2686	295
901	2689	292
902	2692	289
903	2695	286
904	2697	283
905	2700	280
906	2703	277
907	2705	274
908	2708	271
909	2711	268
910	2713	265
911	2716	262
912	2719	259
913	2722	256
914	2724	253
915	2727	250
916	2730	247
917	2732	244
918	2735	241
919	2738	238
920	2741	235
921	2743	232
922	2746	229
923	2749	226
924	2751	223
925	2754	220
926	2757	217
927	2760	214
928	2762	211
929	2765	208
930	2768	205
931	2770	202
932	2773	199
933	2776	196
934	2779	193
935	2781	190
936	2784	187
937	2787	184
938	2789	181
939	2792	178
940	2795	175
941	2798	172
942	2800	169
943	2803	166
944	2806	163
945	2809	160
946	2811	157
947	2814	154
948	2817	151
949	2820	148
950	2822	145
951	2825	142
952	2828	139
953	2830	136
954	2833	133
955	2836	130
956	2839	127
957	2841	124
958	2844	121
959	2847	118
960	2850	115
961	2853	112
962	2856	109
963	2859	106
964	2861	103
965	2864	100
966	2867	97
967	2870	94
968	2872	91
969	2875	88
970	2878	85
971	2880	82
972	2883	80
973	2886	77
974	2889	74
975	2891	71
976	2894	68
977	2897	65
978	2900	62
979	2902	59
980	2905	56
981	2908	53
982	2910	50
983	2913	47
984	2916	44
985	2918	41
986	2921	38
987	2924	35
988	2926	32
989	2929	29
990	2932	26
991	2934	23
992	2937	20
993	2940	17
994	2943	14
995	2946	11
996	2949	8
997	2952	5
998	2955	2
999	2957	0
